"current_game_id","team","opponent","game_pk","game_date","recency_label","role","player_id","player_name","stat_line","performance_score","report_date","source_through","generated_at_utc"
"824380","Athletics","Cleveland Guardians","824383","2026-09-18","Yesterday","Hitter","643446","Jeff McNeil","1 H, 0 HR, 0 2B, 0 RBI",2,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Athletics","Cleveland Guardians","824383","2026-09-18","Yesterday","Pitcher","686930","Mason Barnett","3.1 IP, 4 K",7.33333333333333,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Athletics","Cleveland Guardians","824383","2026-09-18","Yesterday","Pitcher","656240","Scott Blewett","1.2 IP, 3 K",4.66666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Cleveland Guardians","Athletics","824383","2026-09-18","Yesterday","Hitter","608070","José Ramírez","2 H, 1 HR, 0 2B, 2 RBI",9,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Cleveland Guardians","Athletics","824383","2026-09-18","Yesterday","Hitter","677587","Brayan Rocchio","2 H, 0 HR, 1 2B, 2 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Cleveland Guardians","Athletics","824383","2026-09-18","Yesterday","Hitter","683953","Travis Bazzana","1 H, 1 HR, 0 2B, 1 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Cleveland Guardians","Athletics","824383","2026-09-18","Yesterday","Pitcher","676282","Joey Cantillo","5.2 IP, 5 K",10.6666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824380","Cleveland Guardians","Athletics","824383","2026-09-18","Yesterday","Pitcher","671922","Cade Smith","1.0 IP, 2 K",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Chicago Cubs","Cincinnati Reds","824463","2026-09-18","Yesterday","Hitter","664023","Ian Happ","1 H, 1 HR, 0 2B, 1 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Chicago Cubs","Cincinnati Reds","824463","2026-09-18","Yesterday","Hitter","624424","Michael Conforto","3 H, 0 HR, 0 2B, 0 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
