"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"foxxji01",1933,"AL",149,573,125,204,37,9,48,163,2,96,1,0,670,0.356020942408377,0.449253731343284,403,0.703315881326352,1.15256961266964,1,0.99009900990099,1,1,0.985148514851485,1,1,0.99009900990099,0.415841584158416,1930
"foxxji01",1938,"AL",149,565,139,197,33,9,50,175,5,119,0,0,684,0.348672566371681,0.461988304093567,398,0.704424778761062,1.16641308285463,0.98,1,1,1,0.975,0.99,1,0.99,0.6,1930
"freemfr01",2020,"NL",60,214,51,73,23,1,13,53,2,45,3,0,262,0.341121495327103,0.461832061068702,137,0.64018691588785,1.10201897695655,0.993464052287582,0.993464052287582,0.993464052287582,0.993464052287582,0.986928104575163,0.905228758169935,0.993464052287582,1,0.640522875816993,2020
"friscfr01",1931,"NL",131,518,96,161,24,4,4,82,28,45,2,0,565,0.310810810810811,0.368141592920354,205,0.395752895752896,0.76389448867325,0.790909090909091,0.772727272727273,0.518181818181818,0.6,0.845454545454545,0.659090909090909,0.890909090909091,0.945454545454545,1,1930
"garvest01",1974,"NL",156,642,95,200,32,3,21,111,5,31,3,8,684,0.311526479750779,0.342105263157895,301,0.468847352024922,0.810952615182817,0.96319018404908,0.662576687116564,0.914110429447853,0.883435582822086,0.987730061349693,0.929447852760736,0.987730061349693,0.926380368098159,0.662576687116564,1970
"gehrich01",1937,"AL",144,564,133,209,40,1,14,96,11,90,1,0,655,0.370567375886525,0.458015267175573,293,0.519503546099291,0.977518813274863,1,0.990476190476191,0.847619047619048,0.923809523809524,0.961904761904762,0.838095238095238,0.857142857142857,0.961904761904762,0.866666666666667,1930
"gehrilo01",1927,"AL",155,584,149,218,52,18,47,175,10,109,3,0,696,0.373287671232877,0.474137931034483,447,0.76541095890411,1.23954888993859,0.981308411214953,0.981308411214953,0.990654205607477,0.990654205607477,0.990654205607477,0.990654205607477,1,0.990654205607477,0.724299065420561,1920
"gehrilo01",1936,"AL",155,579,167,205,37,7,49,152,3,130,7,0,716,0.35405872193437,0.477653631284916,403,0.696027633851468,1.17368126513638,0.95,1,1,1,0.94,1,0.99,1,0.475,1930
"giambja01",2000,"AL",152,510,108,170,29,1,43,137,2,137,9,8,664,0.333333333333333,0.475903614457831,330,0.647058823529412,1.12296243798724,0.962790697674419,1,0.981395348837209,0.990697674418605,0.888372093023256,0.993023255813953,0.983720930232558,0.953488372093023,0.455813953488372,2000
"gibsobo01",1968,"NL",35,94,3,16,5,0,0,6,1,7,1,1,103,0.170212765957447,0.233009708737864,21,0.223404255319149,0.456413964057013,0.0214285714285714,0.0571428571428571,0.05,0.05,0.00714285714285714,0.0642857142857143,0.0357142857142857,0.00357142857142857,0.332142857142857,1960
"gibsoki01",1988,"NL",150,542,106,157,28,1,25,76,31,73,7,7,629,0.289667896678967,0.376788553259142,262,0.483394833948339,0.860183387207481,0.883720930232558,0.953488372093023,0.936046511627907,0.976744186046512,0.895348837209302,0.962209302325581,0.912790697674419,0.994186046511628,0.921511627906977,1980
"goldspa01",2022,"NL",151,561,106,178,41,0,35,115,7,79,5,4,649,0.31729055258467,0.403697996918336,324,0.577540106951872,0.981238103870208,0.983402489626556,0.995850622406639,1,1,0.991701244813278,0.979253112033195,0.995850622406639,0.991701244813278,0.763485477178423,2020
"gonzaju03",1996,"AL",134,541,89,170,33,2,47,144,2,45,3,3,592,0.314232902033272,0.368243243243243,348,0.643253234750462,1.01149647799371,0.890995260663507,0.701421800947867,0.995260663507109,0.957345971563981,0.893364928909953,0.981042654028436,0.995260663507109,0.822274881516588,0.372037914691943,1990
"gonzaju03",1998,"AL",154,606,110,193,50,2,45,157,2,46,6,11,669,0.318481848184819,0.366218236173393,382,0.63036303630363,0.996581272477023,0.930693069306931,0.777227722772277,0.995049504950495,0.985148514851485,0.975247524752475,0.982673267326733,1,0.95049504950495,0.371287128712871,1990
"gordojo01",1942,"AL",147,538,88,173,29,4,18,103,12,79,1,0,618,0.321561338289963,0.409385113268608,264,0.490706319702602,0.900091432971211,0.958333333333333,0.947916666666667,0.947916666666667,0.96875,0.927083333333333,0.947916666666667,0.96875,0.895833333333333,0.864583333333333,1940
"greenha01",1935,"AL",152,619,121,203,46,16,36,170,4,87,0,0,706,0.32794830371567,0.410764872521246,389,0.62843295638126,1.03919782890251,0.924528301886792,0.943396226415094,0.990566037735849,0.981132075471698,0.971698113207547,0.995283018867924,1,0.981132075471698,0.641509433962264,1930
"greenha01",1940,"AL",148,573,129,195,50,8,41,150,6,93,1,0,667,0.340314136125654,0.43328335832084,384,0.670157068062827,1.10344042638367,0.957894736842105,0.989473684210526,1,1,0.947368421052632,1,1,0.989473684210526,0.7,1940
"griffke02",1997,"AL",157,608,125,185,34,3,56,147,15,76,8,12,704,0.304276315789474,0.382102272727273,393,0.646381578947368,1.02848385167464,0.883177570093458,0.878504672897196,1,0.995327102803738,0.976635514018692,1,1,1,0.864485981308411,1990
"groatdi01",1960,"NL",138,573,85,186,26,4,2,50,0,39,4,1,617,0.324607329842932,0.371150729335494,226,0.394415357766143,0.765566087101637,0.991071428571429,0.919642857142857,0.5625,0.678571428571429,0.982142857142857,0.205357142857143,0.709821428571429,0.892857142857143,0.15625,1960
"grovele01",1931,"AL",41,115,8,23,3,0,0,12,0,3,0,0,118,0.2,0.220338983050847,26,0.226086956521739,0.446425939572587,0.0229357798165138,0.0229357798165138,0.018348623853211,0.018348623853211,0.0504587155963303,0.114678899082569,0.0963302752293578,0.0504587155963303,0.0871559633027523,1930
