"batter_id","player_name","team","tracked_batted_balls","batted_balls_100_plus","average_exit_velocity","max_exit_velocity","batted_balls_100_plus_rate","perspective","tracking_method","source_through","generated_at_utc"
"575929","Willson Contreras","Boston Red Sox",272,90,89.90625,114.9,0.330882352941176,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"545361","Mike Trout","Los Angeles Angels",263,89,90.2174904942966,114.6,0.338403041825095,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669477","Casey Schmitt","San Francisco Giants",309,89,89.8511326860841,112.3,0.288025889967638,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"521692","Salvador Perez","Kansas City Royals",354,88,88.9627118644068,111.2,0.248587570621469,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"668930","Brice Turang","Milwaukee Brewers",323,88,89.290092879257,109.8,0.272445820433437,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"686527","Dominic Canzone","Seattle Mariners",255,87,91.6019607843137,114.7,0.341176470588235,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"668227","Randy Arozarena","Seattle Mariners",330,87,90.9033333333333,113,0.263636363636364,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669065","Kyle Stowers","Miami Marlins",229,87,91.896943231441,112.8,0.379912663755459,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"669016","Brandon Marsh","Philadelphia Phillies",318,87,89.2254716981132,110.1,0.273584905660377,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"682928","CJ Abrams","Washington Nationals",345,86,89.4463768115942,110.8,0.249275362318841,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"701358","Cam Smith","Houston Astros",292,85,89.3496575342466,114.7,0.291095890410959,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"695657","Colson Montgomery","Chicago White Sox",279,84,88.7964157706093,114.4,0.301075268817204,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"808959","Munetaka Murakami","Chicago White Sox",186,84,94.2284946236559,114.1,0.451612903225806,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"605137","Josh Bell","Minnesota Twins",343,83,90.0638483965015,113.7,0.24198250728863,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"671218","Heliot Ramos","New York Yankees",229,83,92.1807860262009,111.8,0.362445414847162,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"663757","Trent Grisham","New York Yankees",292,82,90.7414383561644,111.6,0.280821917808219,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"701807","Carson Benge","New York Mets",340,82,89.5367647058823,109.8,0.241176470588235,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"665742","Juan Soto","New York Mets",245,80,91.9926530612245,114.2,0.326530612244898,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"672960","Kazuma Okamoto","Toronto Blue Jays",294,80,90.384693877551,112.6,0.272108843537415,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"702284","Cole Young","Seattle Mariners",379,79,88.630870712401,111.3,0.20844327176781,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"593428","Xander Bogaerts","San Diego Padres",325,79,88.5956923076923,111,0.243076923076923,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"592626","Joc Pederson","Texas Rangers",239,79,91.9548117154812,110.6,0.330543933054393,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"607208","Trea Turner","Philadelphia Phillies",381,78,88.2251968503937,110.1,0.204724409448819,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"673962","Josh Jung","Texas Rangers",286,77,90.5524475524475,110.1,0.269230769230769,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"695734","Daylen Lile","Washington Nationals",380,77,88.2994736842105,109.8,0.202631578947368,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"664034","Ty France","San Diego Padres",241,77,92.2572614107884,109.6,0.319502074688797,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"695600","Carter Jensen","Kansas City Royals",275,76,90.5618181818182,113.7,0.276363636363636,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"571970","Max Muncy","Los Angeles Dodgers",266,76,90.4165413533835,110.1,0.285714285714286,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"673548","Seiya Suzuki","Chicago Cubs",292,75,88.702397260274,112.9,0.256849315068493,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"647304","Josh Naylor","Seattle Mariners",388,75,87.3505154639175,111.5,0.193298969072165,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"664023","Ian Happ","Chicago Cubs",280,75,89.1528571428571,111.5,0.267857142857143,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"665833","Oneil Cruz","Pittsburgh Pirates",150,74,95.9893333333333,119,0.493333333333333,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"621439","Byron Buxton","Minnesota Twins",251,74,90.3482071713147,111.9,0.294820717131474,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"679529","Spencer Torkelson","Detroit Tigers",280,74,89.3307142857143,109.8,0.264285714285714,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"703607","Henry Bolte","Athletics",185,73,90.1059459459459,113.6,0.394594594594595,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"608070","José Ramírez","Cleveland Guardians",291,72,89.3116838487972,110.8,0.247422680412371,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"621020","Dansby Swanson","Chicago Cubs",300,71,89.329,110.3,0.236666666666667,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"691026","Masyn Winn","St. Louis Cardinals",324,71,87.8490740740741,108.5,0.219135802469136,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"650489","Willi Castro","Colorado Rockies",265,70,86.96,112.1,0.264150943396226,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"802139","JJ Wetherholt","St. Louis Cardinals",372,70,89.5295698924731,108.7,0.188172043010753,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
"671732","Lawrence Butler","Athletics",235,69,89.0268085106383,112.7,0.293617021276596,"batter","mlbam_launch_speed_100_mph_threshold_v1","2026-08-16","2026-08-17 10:32:30 UTC"
