"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"824222","away",8,"660688","Keibert Ruiz","Washington Nationals","Detroit Tigers",0.0546888956807727,0.00912108433750036,0.137138612401562,0.150579075904181,0.0409967532027844,0.000220295423945337,0.032236714865555,0.575018568183699,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","away",9,"683083","Nasim Nuñez","Washington Nationals","Detroit Tigers",0.0950622145987066,0.00280002181211657,0.218685936838781,0.150352370148205,0.00791533894626166,0.00259417160701196,0.0046692931485457,0.517920652900372,6,0.82400525435873,"Kenley Jansen | Tyler Kinley | Drew Sommers | Jacob Waguespack | Beau Brieske | Tyler Holton","availability_weighted_active_relievers"
"824222","home",1,"650402","Gleyber Torres","Detroit Tigers","Washington Nationals",0.130620337052912,0.00880906494559284,0.187478284807423,0.160679282575004,0.0341779625588912,0.000822143554843166,0.0213349793929584,0.456077945112375,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",2,"701678","Hao-Yu Lee","Detroit Tigers","Washington Nationals",0.0821325097666381,0.00356510766919016,0.227418022637594,0.15451660167122,0.0487306420528902,0.00388791001676187,0.0296700793935454,0.45007912679216,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",3,"805808","Kevin McGonigle","Detroit Tigers","Washington Nationals",0.132574903707397,0.00732854247715596,0.149948192895192,0.165515509337624,0.0390800076261768,0.00471136223335102,0.0252094702006659,0.475632011522437,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",4,"680664","Eduardo Valencia","Detroit Tigers","Washington Nationals",0.0624290226384532,0.0152153964664081,0.208466316563989,0.160911478727847,0.0702216878660972,0.00167441025499888,0.0399095528983301,0.441172134583876,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",5,"701162","Ben Malgeri","Detroit Tigers","Washington Nationals",0.111930054460628,0.0149744110495189,0.233404430055731,0.14301251047422,0.0361292697627491,0.00159806863931653,0.0302250906291066,0.42872616492873,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",6,"703601","Max Clark","Detroit Tigers","Washington Nationals",0.0966647487424071,0.0233062142592263,0.198382018986749,0.155591685025984,0.0502858650764581,0.00787852282267588,0.0225506723450803,0.44534027274142,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",7,"679529","Spencer Torkelson","Detroit Tigers","Washington Nationals",0.115464189536613,0.0146488603692658,0.279946383835854,0.121096730440404,0.0447911208078161,0.000641222813574765,0.0384077951465451,0.385003697049927,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",8,"595879","Javier Báez","Detroit Tigers","Washington Nationals",0.0585922674655519,0.0122841588553391,0.203234040492429,0.147313384834127,0.0491299977295597,0.00355835749711292,0.0227380177356519,0.503149775390229,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"824222","home",9,"807726","John Peck","Detroit Tigers","Washington Nationals",0.0920960153817882,0.0155954818967589,0.213776253931583,0.142031320038134,0.040083702501603,0.00298730565023119,0.0290552033708239,0.464374717229078,6,0.870351430502365,"Luis Perales | Josiah Gray | Richard Lovelady | Jack Sinclair | Brad Lord | Erik Tolman","availability_weighted_active_relievers"
"823328","away",1,"802139","JJ Wetherholt","St. Louis Cardinals","Pittsburgh Pirates",0.0994281789634583,0.0261733734166999,0.194274553993624,0.148226403377767,0.0245973036481064,0.000330359086103779,0.027348204896083,0.479621622618157,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",2,"671056","Iván Herrera","St. Louis Cardinals","Pittsburgh Pirates",0.104911822343318,0.0402868355735389,0.211588880237838,0.12849970285084,0.0411367287665122,0.000938942804142649,0.0218973004556116,0.450739786968199,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",3,"676475","Alec Burleson","St. Louis Cardinals","Pittsburgh Pirates",0.0770281487811218,0.0084252110972957,0.211996852729358,0.150196305141239,0.0512690267110608,0.00133142816227405,0.0304955823898242,0.469257444987827,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",4,"691023","Jordan Walker","St. Louis Cardinals","Pittsburgh Pirates",0.0838635158745174,0.00628723538084381,0.28881753409862,0.133200615881081,0.0526331259562919,0.000312898204769485,0.0337454700262552,0.401139604577621,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",5,"699024","Leo Bernal","St. Louis Cardinals","Pittsburgh Pirates",0.0852697541847762,0.0109333322364396,0.234402940280421,0.138779936904371,0.0416249008402585,0.00266595794437906,0.0323626123129353,0.45396056529642,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",6,"663494","Bryan Torres","St. Louis Cardinals","Pittsburgh Pirates",0.0915612045307714,0.00887138147120455,0.239974965880251,0.152695631326582,0.0197654374106651,0.00653554793383038,0.0253778942847302,0.455217937161965,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",7,"695336","Thomas Saggese","St. Louis Cardinals","Pittsburgh Pirates",0.0803018347768613,0.00834273483335454,0.282087059702855,0.131398623587901,0.0342368223821083,0.004185481681807,0.0228955953806845,0.436551847654428,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",8,"701675","Nathan Church","St. Louis Cardinals","Pittsburgh Pirates",0.0629733693842074,0.0113654713801032,0.191936563661567,0.160380314424721,0.0349852711085119,0.00319478179865651,0.022608128866035,0.512556099376198,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","away",9,"691026","Masyn Winn","St. Louis Cardinals","Pittsburgh Pirates",0.0849957881426388,0.013014542304313,0.238140529925343,0.135023805754789,0.0517032316215756,0.00207562920738368,0.0099247318713583,0.465121741172599,6,0.87345828355237,"Antwone Kelly | Luke Weaver | Gregory Soto | Brandon Eisert | Camilo Doval | Mason Montgomery","availability_weighted_active_relievers"
"823328","home",1,"804606","Konnor Griffin","Pittsburgh Pirates","St. Louis Cardinals",0.0773045630728217,0.0126271424906172,0.229440904432642,0.164836202578861,0.0478643411289142,0.00473148648238821,0.0189941783013884,0.444201181512368,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",2,"664040","Brandon Lowe","Pittsburgh Pirates","St. Louis Cardinals",0.10758902556442,0.00742465291258304,0.26071568078202,0.124118084036653,0.044650068874358,0.00107432257988875,0.0446383777622965,0.409789787487781,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",3,"668804","Bryan Reynolds","Pittsburgh Pirates","St. Louis Cardinals",0.128146467531116,0.0158441302587192,0.229688802959567,0.13334546453185,0.05958361797648,0.00251160180471758,0.023235160678061,0.407644754259489,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",4,"665833","Oneil Cruz","Pittsburgh Pirates","St. Louis Cardinals",0.113971724972418,0.013453071300762,0.293285570700987,0.14470367397438,0.0329655085282897,0.00125164609512332,0.0421074758402671,0.358261328587773,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",5,"804668","Rafael Flores Jr.","Pittsburgh Pirates","St. Louis Cardinals",0.0925414950996225,0.00505355012041615,0.247092227874839,0.146661358496068,0.0468769577673089,0.00121538856035581,0.050255162169628,0.410303859911762,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",6,"656811","Ryan O'Hearn","Pittsburgh Pirates","St. Louis Cardinals",0.0894446008625512,0.0178866298197938,0.20805394438955,0.142329080459794,0.0347659188056531,0.000444981587616338,0.0347187921300512,0.472356051944991,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",7,"682927","Ronny Simon","Pittsburgh Pirates","St. Louis Cardinals",0.0928438624761879,0.0129262025213522,0.214929641088502,0.136916848216995,0.0416310553915805,0.00269196426502365,0.0286080698417561,0.469452356198602,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",8,"687462","Spencer Horwitz","Pittsburgh Pirates","St. Louis Cardinals",0.11832179342033,0.0208070171128809,0.163266235253307,0.139778146042676,0.0287909884584773,0.00139284691351512,0.0212535306741927,0.50638944212462,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823328","home",9,"694378","Jacob Gonzalez","Pittsburgh Pirates","St. Louis Cardinals",0.0639344394817803,0.0170523839162519,0.193620463312966,0.127339745205168,0.0352389158835714,0.000729270934034849,0.0255354911025261,0.536549290163702,6,0.876091059212078,"Ryne Stanek | George Soriano | Justin Bruihl | Cade Winquest | Brycen Mautz | Gordon Graceffo","availability_weighted_active_relievers"
"823412","away",1,"669003","Garrett Mitchell","Milwaukee Brewers","Philadelphia Phillies",0.0911067516732222,0.0125136185874481,0.331439895554948,0.14900587922768,0.0414521640492804,0.0108550222224238,0.0181737888063394,0.345452879878658,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
