"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","report_date","source_through","generated_at_utc","method"
"824222","Detroit Tigers","Washington Nationals","Pitcher","689981","River Ryan",1,,,,,,,1,3,9,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Pitcher","805427","Drew Sommers",1,,,,,,,0,2,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Detroit Tigers","Washington Nationals","Pitcher","689225","Beau Brieske",1,,,,,,,0,1,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","696285","Jacob Young",1,3,2,1,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","686611","Dylan Crews",1,4,1,0,0,0,0,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","691002","Yohandy Morales",1,1,1,0,0,1,2,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","695578","James Wood",1,4,1,0,0,0,0,0,3,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","660688","Keibert Ruiz",1,3,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","678391","Jorbit Vivas",1,4,0,0,0,0,0,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","682928","CJ Abrams",1,3,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","683083","Nasim Nuñez",1,1,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","691781","Brady House",1,4,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","694673","Abimelec Ortiz",1,3,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Hitter","695734","Daylen Lile",1,4,0,0,0,0,0,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Pitcher","687792","DJ Herz",1,,,,,,,2,4,12,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Pitcher","691384","Luis Perales",1,,,,,,,2,2,6,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824222","Washington Nationals","Detroit Tigers","Pitcher","680686","Josiah Gray",1,,,,,,,0,1,6,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","683002","Gunnar Henderson",1,4,3,0,1,1,1,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","624413","Pete Alonso",1,4,2,0,0,2,3,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","687952","Christian Encarnacion-Strand",1,3,1,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","665966","Carlos Narváez",1,1,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","669236","Jeremiah Jackson",1,1,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","676480","José Barrero",1,2,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
