"lineup_spot","player","team","sims","avg_PA","avg_starter_PA","avg_bullpen_PA","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","p_1_plus_H","p_2_plus_H","p_1_plus_BB","p_2_plus_K","p_1_plus_HR","p_1_plus_XBH","p_2_plus_TB","p_3_plus_TB","H_p10","H_p90","TB_p10","TB_p90","player_id","game_id","game_date","opponent","opposing_starter_id","opposing_starter","opposing_starter_hand","expected_team_runs","model_version","publication_status"
2,"Kyle Schwarber","Philadelphia Phillies",2000,4.358,3.4055,0.9525,0.9845,0.603,1.2675,0.345,0.3915,2.068,0.6715,0.248,0.487,0.379,0.3,0.337,0.4185,0.3295,0,2,0,5,"656941","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Bryce Harper","Philadelphia Phillies",2000,4.242,3.2545,0.9875,0.927,0.623,0.8125,0.2015,0.3895,1.733,0.6415,0.2375,0.479,0.188,0.1875,0.333,0.4045,0.272,0,2,0,5,"547180","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Brandon Marsh","Philadelphia Phillies",2000,4.136,3.1355,1.0005,1.1495,0.282,0.9505,0.186,0.367,1.905,0.7405,0.3275,0.25,0.24,0.1685,0.3135,0.457,0.271,0,2,0,5,"669016","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Alec Bohm","Philadelphia Phillies",2000,4.033,3.0585,0.9745,0.8775,0.3225,0.5755,0.128,0.312,1.459,0.6285,0.2105,0.2845,0.1035,0.1225,0.283,0.3655,0.2045,0,2,0,4,"664761","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Bryson Stott","Philadelphia Phillies",2000,3.9445,2.9925,0.952,0.971,0.3155,0.668,0.0925,0.415,1.595,0.666,0.249,0.2805,0.129,0.0875,0.3535,0.4295,0.2275,0,2,0,4,"681082","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"J.T. Realmuto","Philadelphia Phillies",2000,3.845,2.928,0.917,0.843,0.303,0.7365,0.099,0.3025,1.3575,0.6125,0.1945,0.2635,0.1535,0.0965,0.271,0.341,0.1875,0,2,0,4,"592663","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Gabriel Rincones Jr.","Philadelphia Phillies",2000,3.738,2.835,0.903,0.799,0.2095,0.877,0.0935,0.3515,1.359,0.581,0.187,0.1935,0.2145,0.092,0.308,0.3635,0.1915,0,2,0,4,"687282","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Justin Crawford","Philadelphia Phillies",2000,3.62,2.713,0.907,0.8665,0.23,0.6935,0.0255,0.301,1.244,0.618,0.2095,0.213,0.1425,0.0245,0.2635,0.3455,0.154,0,2,0,3,"702222","823839","2026-07-27","Miami Marlins",663969,"Tyler Phillips","R",4.25927636809681,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Otto Lopez","Miami Marlins",2000,4.387,3.047,1.34,1.102,0.221,0.7405,0.075,0.4285,1.7015,0.709,0.3135,0.202,0.1625,0.073,0.3605,0.4705,0.247,0,2,0,4,"672640","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Kyle Stowers","Miami Marlins",2000,4.2625,2.9795,1.283,0.793,0.335,1.4535,0.1305,0.359,1.4285,0.567,0.1965,0.296,0.4455,0.1235,0.3125,0.368,0.2095,0,2,0,4,"669065","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Heriberto Hernández","Miami Marlins",2000,4.155,2.913,1.242,0.7645,0.33,1.1415,0.1665,0.286,1.395,0.5675,0.1735,0.292,0.321,0.1575,0.261,0.32,0.21,0,2,0,4,"681715","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Xavier Edwards","Miami Marlins",2000,4.061,2.8165,1.2445,0.8475,0.4075,0.6485,0.046,0.258,1.2165,0.6085,0.2045,0.342,0.127,0.044,0.231,0.3255,0.1475,0,2,0,3,"669364","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Liam Hicks","Miami Marlins",2000,3.9605,2.7,1.2605,0.779,0.3565,0.522,0.1225,0.2255,1.2575,0.573,0.1785,0.309,0.086,0.1175,0.203,0.2875,0.165,0,2,0,4,"689414","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Griffin Conine","Miami Marlins",2000,3.8665,2.5525,1.314,0.7435,0.3375,1.1875,0.1935,0.2325,1.366,0.568,0.1535,0.2935,0.346,0.183,0.2145,0.2895,0.201,0,2,0,4,"665052","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Javier Sanoja","Miami Marlins",2000,3.7635,2.3915,1.372,0.829,0.194,0.425,0.03,0.3515,1.2665,0.6065,0.1895,0.183,0.0575,0.0295,0.3035,0.361,0.164,0,2,0,3,"691594","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Joe Mack","Miami Marlins",2000,3.643,2.2435,1.3995,0.72,0.2265,1.0165,0.1605,0.2355,1.2805,0.545,0.156,0.2045,0.2645,0.1475,0.213,0.279,0.18,0,2,0,4,"691788","823839","2026-07-27","Philadelphia Phillies",554430,"Zack Wheeler","R",3.40705840392814,"starter_bullpen_player_sim_v1","development_uncalibrated"
