"team","fielding_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","innings","players","official_fielding_rank","source","model_version","source_through","generated_at_utc"
"Cincinnati Reds",-10.7856727584372,3.76633652033577,-6.75438796306371,-1.86074077866388,-4.80907798483419,-7.29082189683418,-2.07582572346698,4.55756963546696,4850.44444444444,22,21,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Detroit Tigers",-10.8120409138649,-22.7109860555279,-3.52635099489642,2.41401813912231,12.6223144145082,7.38020794658945,2.2903908301133,2.95171563780544,4364.11111111111,21,22,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Pittsburgh Pirates",-15.1004390613198,-12.7088283930194,-4.01644477942852,1.8160434440007,0.418553422236029,0.888325020808106,-0.0735377359609839,-0.396233862611092,4692.66666666667,21,23,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Baltimore Orioles",-15.2194257782377,-8.11478986425789,0.103441760828132,-3.00218036383522,-0.205700276823009,-4.1888602837041,2.52469675235324,1.45846325452786,4057.55555555556,18,24,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Colorado Rockies",-16.503805871292,-10.7011794604849,0.0565386371118009,1.13964427342638,-8.28954119568414,-5.08227534860618,-2.82942996586405,-0.377835881213915,4734.33333333333,19,25,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Los Angeles Angels",-20.9389482154087,-15.0349697472001,5.42194164993055,0.502407249933287,-15.5724280844514,-12.1117961788759,-1.52358627234393,-1.93704563323164,4143,23,26,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"San Francisco Giants",-21.9238330645975,-22.1084154904374,-2.50569275357832,2.57462620312042,3.60410155078872,4.38228244497998,2.64161099965139,-3.41979189384267,4380.88888888889,27,27,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Minnesota Twins",-25.2445462141879,-14.489467691934,-3.00471934362337,-0.973583198531243,-6.73914236850196,-0.778169055268185,-6.65730523210684,0.696331918873058,4966.66666666667,21,28,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Athletics",-36.0392042646965,-35.0657545487719,-0.37874131426554,0.0593908243090072,-3.0906127744798,-5.35241838942917,1.70430742116071,0.557498193788651,4816.66666666667,23,29,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
"Seattle Mariners",-51.2653605273437,-44.0219300791748,-0.101447126761105,0.391254248390628,-7.91958655085202,-7.69341659662717,-2.65194426179638,2.42577430757154,5142.88888888889,24,30,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-09-05","2026-09-06 13:33:25 UTC"
