"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","player_id","player_name","team","position","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
45,27,0.6,0.587129526219877,0.59145404441967,-0.579171320105524,0.213074068543802,"575929","Willson Contreras","Boston Red Sox","1B",0.391304347826087,0.473497930097338,103.02961725319,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.784226583289657,0.802269377126747,-0.215773416710343,-0.0539433541775857,"592206","Nick Castellanos","San Diego Padres","1B",0.0140845070422535,-5.39433541775857,98.4192459770856,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
6,1,0.166666666666667,0.352129045122915,0.37583930869489,1.11277427073749,0.606118001106726,"592206","Nick Castellanos","San Diego Padres","LF",0.0789473684210526,10.1019666851121,109.364197517193,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
24,13,0.541666666666667,0.392288606088244,0.415288006146794,-3.58507345388215,-1.34071392408727,"592206","Nick Castellanos","San Diego Padres","RF",0.25531914893617,-5.58630801703028,90.7778690839189,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.327171325391602,0.337815122697999,0.327171325391602,0.0817928313479006,"592332","Kevin Gausman","Chicago Cubs","P",0.0140845070422535,8.17928313479006,102.144344612326,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,4,1,0.710990541790188,0.720513057387998,-1.15603783283925,-0.251481013228964,"592332","Kevin Gausman","Toronto Blue Jays","P",0.0540540540540541,-6.2870253307241,97.8310489967098,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
74,30,0.405405405405405,0.397832758260411,0.401283600739017,-0.560375888729588,-0.0892646934123958,"592450","Aaron Judge","New York Yankees","RF",0.513888888888889,-0.120627964070805,101.981334737869,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
56,20,0.357142857142857,0.411247231179855,0.390101701324329,3.02984494607189,0.679430552158442,"592518","Manny Machado","San Diego Padres","3B",0.444444444444444,1.21326884314007,98.9877093149847,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
8,6,0.75,0.590206916650575,0.602753930336483,-1.2783446667954,-0.231421670040889,"592626","Joc Pederson","Texas Rangers","1B",0.102564102564103,-2.89277087551111,98.2140855062399,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,3,1,0.700891817853923,0.712883126793012,-0.89732454643823,-0.199543347542426,"592662","Robbie Ray","San Francisco Giants","P",0.0410958904109589,-6.65144491808087,97.9688994303252,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.469166634919538,0.469849674404669,-0.0616667301609235,0.0731922244676554,"592773","Ryne Stanek","St. Louis Cardinals","P",0.0277777777777778,3.65961122338277,101.584802127168,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.130354392080634,0.128518429274202,0.130354392080634,0.0260708784161268,"592885","Christian Yelich","Milwaukee Brewers","LF",0.0140845070422535,2.60708784161268,100.920139062378,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
73,29,0.397260273972603,0.397814099417567,0.397591024963227,0.040429257482415,0.627011521370593,"593428","Xander Bogaerts","San Diego Padres","SS",0.510489510489511,0.858919892288483,96.4309398811795,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,2,1,0.757026693977576,0.763757621702682,-0.485946612044847,-0.0971893224089695,"593958","Eduardo Rodriguez","Arizona Diamondbacks","P",0.0277777777777778,-4.85946612044847,98.8957712366303,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,3,1,0.688499909897192,0.70120160616985,-0.934500270308424,-0.186900054061685,"593974","Wandy Peralta","San Diego Padres","P",0.0410958904109589,-6.23000180205616,98.130704692731,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,3,0.75,0.512110689853056,0.523259441665718,-0.951557240587776,-0.191303461876853,"594798","Jacob deGrom","Texas Rangers","P",0.0540540540540541,-4.78258654692134,98.493483793223,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.270295742318957,0.264168015736883,-0.459408515362085,-0.121732092263741,"595879","Javier Báez","Detroit Tigers","2B",0.0277777777777778,-6.08660461318704,94.8515122101197,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,1,0.333333333333333,0.344312819248481,0.33728533485385,0.0329384577454435,0.00105371962174667,"595879","Javier Báez","Detroit Tigers","CF",0.0410958904109589,0.0351239873915555,101.736033379673,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
5,1,0.2,0.369257818207484,0.362135727707476,0.846289091037421,0.0812133546946638,"595879","Javier Báez","Detroit Tigers","LF",0.0666666666666667,1.62426709389328,101.135978692043,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,2,1,0.527309073111367,0.518831177477134,-0.945381853777266,-0.363085022836878,"595879","Javier Báez","Detroit Tigers","RF",0.0277777777777778,-18.1542511418439,88.9043851770169,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
24,9,0.375,0.433610521959042,0.426231272898552,1.406652527017,0.434533413543885,"595879","Javier Báez","Detroit Tigers","SS",0.25531914893617,1.81055588976619,99.732474825352,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
6,4,0.666666666666667,0.426107737848707,0.444395185795875,-1.44335357290776,-0.517545198158483,"595978","Austin Hedges","Cleveland Guardians","C",0.0789473684210526,-8.62575330264139,97.7170233474117,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
50,12,0.24,0.386829519593478,0.331797723043028,7.34147597967392,2.12580136792809,"596019","Francisco Lindor","New York Mets","SS",0.416666666666667,4.25160273585617,107.052639700601,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
13,7,0.538461538461538,0.452987391863214,0.464706848743591,-1.11116390577822,-0.558008341929494,"596115","Trevor Story","Boston Red Sox","SS",0.156626506024096,-4.29237186099611,88.4559461289902,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.793928090372977,0.787276736422979,-0.206071909627023,-0.0515179774067558,"596117","Garrett Stubbs","Philadelphia Phillies","1B",0.0140845070422535,-5.15179774067558,98.5083415695137,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,0,0,0.217707816585769,0.211164280378574,0.870831266343076,0.313866997633589,"596117","Garrett Stubbs","Philadelphia Phillies","LF",0.0540540540540541,7.84667494083973,105.959287833812,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.630770232308257,0.621886883904554,0.630770232308257,0.157692558077064,"596133","Luke Weaver","Pittsburgh Pirates","P",0.0140845070422535,15.7692558077064,103.850291549037,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.554501662324215,0.560582239296588,-0.445498337675785,-0.089099667535157,"596142","Gary Sánchez","Milwaukee Brewers","1B",0.0140845070422535,-8.9099667535157,97.127787840003,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.498222319656986,0.503927242924651,-0.00355536068602752,-0.00088884017150688,"596142","Gary Sánchez","Milwaukee Brewers","C",0.0277777777777778,-0.044442008575344,101.014755745697,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
44,12,0.272727272727273,0.278495747946407,0.276613828412223,0.253812909641893,-0.894877364779661,"596146","Max Kepler","Arizona Diamondbacks","LF",0.385964912280702,-2.03381219268105,94.9786267225611,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.79235992259782,0.806088434540416,-0.20764007740218,-0.051910019350545,"602104","Ramón Urías","St. Louis Cardinals","2B",0.0140845070422535,-5.1910019350545,96.8903007793267,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
9,5,0.555555555555556,0.391100139237224,0.408579448826766,-1.48009874686499,-0.338475298878343,"602104","Ramón Urías","St. Louis Cardinals","3B",0.113924050632911,-3.76083665420382,93.3518021483042,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.607970987579288,0.613492808523544,-0.392029012420712,-0.098007253105178,"605135","Chris Bassitt","Baltimore Orioles","P",0.0140845070422535,-9.8007253105178,98.1030994522774,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,3,1,0.814437054067672,0.822045625918839,-0.556688837796984,-0.139172209449246,"605137","Josh Bell","Minnesota Twins","1B",0.0410958904109589,-4.6390736483082,97.773737949078,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
36,12,0.333333333333333,0.435287340377934,0.404803128588811,3.67034425360561,0.98653704959956,"605141","Mookie Betts","Los Angeles Dodgers","SS",0.339622641509434,2.74038069333211,102.234367159889,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
6,2,0.333333333333333,0.433030190821192,0.41882801844221,0.59818114492715,0.105169657034009,"605170","Victor Caratini","Minnesota Twins","1B",0.0789473684210526,1.75282761723349,102.473462753298,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,0,0,0.339594451865812,0.324491731636233,0.679188903731624,0.26794974708767,"605170","Victor Caratini","Minnesota Twins","C",0.0277777777777778,13.3974873543835,104.725526190767,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.748570774706809,0.752112143406911,-0.251429225293191,-0.0502858450586382,"605242","Michael Fulmer","Los Angeles Angels","P",0.0140845070422535,-5.02858450586382,99.1757013361163,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,3,1,0.682266783146672,0.689443480507086,-0.953199650559983,-0.228510316354964,"605280","Clay Holmes","Chicago Cubs","P",0.0410958904109589,-7.61701054516545,97.5981884287217,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
