"batter_id","player_name","team","pitches","swings","whiffs","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank"
"671976","Tristan Peters","Chicago White Sox",735,418,85,361,127,291,250,0.568707482993197,0.203349282296651,0.351800554016621,0.859106529209622,40.8,"pitch_level_chase_contact_profile_v1",237
"695600","Carter Jensen","Kansas City Royals",1001,447,126,536,144,303,252,0.446553446553447,0.281879194630872,0.26865671641791,0.831683168316832,40.8,"pitch_level_chase_contact_profile_v1",238
"572233","Christian Walker","Houston Astros",1137,569,155,605,181,388,331,0.500439753737907,0.272407732864675,0.299173553719008,0.853092783505155,40.7,"pitch_level_chase_contact_profile_v1",239
"671732","Lawrence Butler","Athletics",770,363,97,391,100,261,208,0.471428571428571,0.267217630853994,0.255754475703325,0.796934865900383,40.7,"pitch_level_chase_contact_profile_v1",240
"592663","J.T. Realmuto","Philadelphia Phillies",673,315,70,352,112,203,172,0.468053491827637,0.222222222222222,0.318181818181818,0.847290640394089,40.5,"pitch_level_chase_contact_profile_v1",241
"664023","Ian Happ","Chicago Cubs",1232,544,158,637,159,385,310,0.441558441558442,0.290441176470588,0.249607535321821,0.805194805194805,40.5,"pitch_level_chase_contact_profile_v1",242
"665804","Miguel Amaya","Chicago Cubs",505,217,52,292,84,133,110,0.42970297029703,0.23963133640553,0.287671232876712,0.827067669172932,40.5,"pitch_level_chase_contact_profile_v1",243
"665161","Jeremy Pe<U+00F1>a","Houston Astros",566,297,70,302,99,198,171,0.524734982332155,0.235690235690236,0.327814569536424,0.863636363636364,40.4,"pitch_level_chase_contact_profile_v1",244
"514888","Jose Altuve","Houston Astros",776,357,87,435,144,213,185,0.460051546391753,0.243697478991597,0.331034482758621,0.868544600938967,40.3,"pitch_level_chase_contact_profile_v1",245
"606192","Teoscar Hern<U+00E1>ndez","Los Angeles Dodgers",831,374,99,433,113,261,209,0.450060168471721,0.264705882352941,0.260969976905312,0.800766283524904,40,"pitch_level_chase_contact_profile_v1",246
"686894","Joey Wiemer","Washington Nationals",335,134,41,186,49,85,71,0.4,0.305970149253731,0.263440860215054,0.835294117647059,39.5,"pitch_level_chase_contact_profile_v1",247
"691740","Daniel Susac","San Francisco Giants",359,195,45,192,76,119,106,0.543175487465181,0.230769230769231,0.395833333333333,0.890756302521008,39.4,"pitch_level_chase_contact_profile_v1",248
"592518","Manny Machado","San Diego Padres",1136,553,126,597,184,369,309,0.486795774647887,0.227848101265823,0.30820770519263,0.83739837398374,39.3,"pitch_level_chase_contact_profile_v1",249
"543309","Kyle Higashioka","Texas Rangers",502,211,60,257,74,137,116,0.420318725099602,0.28436018957346,0.287937743190661,0.846715328467153,39,"pitch_level_chase_contact_profile_v1",250
"641933","Tyler O'Neill","Baltimore Orioles",540,249,71,294,81,168,140,0.461111111111111,0.285140562248996,0.275510204081633,0.833333333333333,39,"pitch_level_chase_contact_profile_v1",251
"592626","Joc Pederson","Texas Rangers",842,374,103,417,111,263,213,0.444180522565321,0.275401069518717,0.266187050359712,0.809885931558935,38.9,"pitch_level_chase_contact_profile_v1",252
"681351","Logan O'Hoppe","Los Angeles Angels",622,308,83,351,118,190,167,0.495176848874598,0.269480519480519,0.336182336182336,0.878947368421053,38.9,"pitch_level_chase_contact_profile_v1",253
